sentence_id	transmit	animals1	animals2	article_link	pmc_id	doi	pdf_sha	pubmed_id	msft_id	transmit_first_index	transmit_last_index	animals1_first_index	animals1_last_index	animals2_first_index	animals2_last_index	sentence_text
24690	food	transmit	eggs	https://api.semanticscholar.org/10.1016/b978-0-12-385007-2.00003-6		10.1016/b978-0-12-385007-2.00003-6				8	8	5	5	11	11	Adult houseflies were able to transmit bacteria from food to their eggs , and some of the bacteria were also transmitted to first-generation adult flies ( Pava-Ripoll et al. , 2015 ) .
24940	bologna	transferred	polyethylene	https://api.semanticscholar.org/10.1016/b978-0-12-385007-2.00003-6		10.1016/b978-0-12-385007-2.00003-6				22	22	20	20	28	28	Transfer efficiency was not statistically different to wet compared with dry processing surfaces , and greater numbers of bacteria were transferred from bologna to stainless steel than to polyethylene .
24969	the modified Davidson 's solution	transferred	70 % ethanol	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5401735/pdf/	PMC5401735	10.1155/2017/3102567		28492060		14	18	12	12	20	22	For short term studies , testes and eyes with optic nerves were transferred from the modified Davidson 's solution to 70 % ethanol 1 - 2 days following collection .
25868	sponges	transferred	both surfaces	https://api.semanticscholar.org/10.1016/b978-0-12-385007-2.00003-6		10.1016/b978-0-12-385007-2.00003-6				8	8	6	6	10	11	Large numbers of microorganisms could be transferred from sponges to both surfaces .
32175	one host species	transmissible	another	https://api.semanticscholar.org/10.1016/j.jmaa.2019.03.030		10.1016/j.jmaa.2019.03.030				20	22	18	18	30	30	Nearly two-thirds of all known human infectious diseases ( ID ) are caused by zoonotic pathogens which are transmissible from one host species ( humans and vertebrate animals ) to another [ 27 , 41 ] , and therefore multi-host .
32175	one host species	transmissible	multi-host	https://api.semanticscholar.org/10.1016/j.jmaa.2019.03.030		10.1016/j.jmaa.2019.03.030				20	22	18	18	39	39	Nearly two-thirds of all known human infectious diseases ( ID ) are caused by zoonotic pathogens which are transmissible from one host species ( humans and vertebrate animals ) to another [ 27 , 41 ] , and therefore multi-host .
34099	scFv	transferred	intact IgG formats	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6939334/pdf/	PMC6939334	10.1186/s12929-019-0592-z		31894001		14	14	12	12	16	18	These randomly paired mAbs occasionally lose binding affinity or develop self-reactivity when transferred from scFv to intact IgG formats .
40488	a single infected cell	spread	neighboring cells	https://api.semanticscholar.org/10.1016/j.antiviral.2019.04.006		10.1016/j.antiviral.2019.04.006		30974127		8	11	4	4	13	14	In focus-forming assays , spread of virus from a single infected cell to neighboring cells is detected by immunofluorescent staining and automated microscopic imaging .
42821	Asia	spread	North America	https://api.semanticscholar.org/10.1016/b978-0-12-804230-4.00004-2		10.1016/b978-0-12-804230-4.00004-2				26	26	21	21	28	29	Aedes albopictus is the secondary dengue vector in Asia . 30 International trade in products like lucky bamboo led to the spread of A. albopictus from Asia to North America and Europe .
42821	Asia	spread	Europe	https://api.semanticscholar.org/10.1016/b978-0-12-804230-4.00004-2		10.1016/b978-0-12-804230-4.00004-2				26	26	21	21	31	31	Aedes albopictus is the secondary dengue vector in Asia . 30 International trade in products like lucky bamboo led to the spread of A. albopictus from Asia to North America and Europe .
42949	wild birds	transmitted	domestic ones	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3428329/pdf/	PMC3428329	10.1371/journal.pone.0043974		22952832		12	13	10	10	15	16	Besides , when LPAIV of H5 or H7 subtypes are transmitted from wild birds to domestic ones reared in artificial environments , their virulence can evolve to high pathogenicity [ 29 , 30 ] .
44510	one container	Transfer	another	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4451704/pdf/	PMC4451704	10.1378/chest.15-0278		25764372		5	6	0	0	8	8	Transfer of liquid waste from one container to another is performed under the cover of absorbent pads to limit aerosol exposure ( e-Appendix 1 : CRRT SOP ) .
53831	person	transmitted	person	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1764036/pdf/	PMC1764036	10.1371/journal.pone.0000143		17206278		24	24	22	22	26	26	Our model is developed with a pandemic-strain of influenza in mind , but could apply to any emerging infectious disease that is transmitted from person to person .
56422	cat	transmitted	cat	https://api.semanticscholar.org/10.1016/j.amc.2013.12.124		10.1016/j.amc.2013.12.124				10	10	8	8	12	12	In either case , FIPV itself is not transmitted from cat to cat .
58544	the blood stream	transfer	the udder	https://api.semanticscholar.org/10.3168/jds.2019-16524		10.3168/jds.2019-16524		31378489		15	17	9	9	19	20	Furthermore , a reduced mammary blood flow causes impaired transfer of IgG and nutrients from the blood stream to the udder , or impaired immune reactivity of mammary gland plasmacytes that produce IgA ( Godden , 2008 ; Tao and Dahl , 2013 ) .
60054	one class	pass	the next	https://api.semanticscholar.org/10.1016/j.amc.2013.12.124		10.1016/j.amc.2013.12.124				39	40	37	37	42	43	The generality comes from the fact that new infections may enter any of the infectious classes and that there is an ordering of the infectious classes so that individuals can be permitted ( or not ) to pass from one class to the next .
60298	person	transmitted	person	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3556854/pdf/	PMC3556854	10.1155/2013/493960		23365758		12	12	10	10	14	14	Even with a known list of pathogens that can be transmitted from person to person in a hospital [ 60 , 61 ] and evidence that various hospital-acquired infections are airborne transmission related [ 60 ] , the extent to which airborne transmission contributes to the overall infection rate in hospitals continues to be debated [ 115 , 116 ] .
63281	a donor	transfer	an acceptor compartment	https://api.semanticscholar.org/10.1016/b978-0-12-524155-7.50013-6		10.1016/b978-0-12-524155-7.50013-6				36	37	29	29	39	41	Unlike most existing cell-free transport assays ( for review , see Goda and Pfeffer , 1989 ) , this system measures only the formation of vesicles and not the transfer of a defined marker protein from a donor to an acceptor compartment , which is a multistep process involving both vesicle formation and vesicle fusion .
67488	an outlying hospital	transferred	hospital C	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4696715/pdf/	PMC4696715	10.3201/eid2201.151370		26692003		13	15	8	8	10	11	On October 3 , a 60-year-old man was transferred to hospital C from an outlying hospital in Taif Governorate after respiratory symptoms developed on October 1 and laboratory testing of his NP specimen confirmed MERS-CoV on October 3 .
70168	bats	transmitted	other species	https://api.semanticscholar.org/10.1016/j.jviromet.2016.09.008		10.1016/j.jviromet.2016.09.008		27639955		7	7	5	5	9	10	Most viruses that have been transmitted from bats to other species have been studied in animal models of human disease or in cell lines of non-bat origin .
84086	research	transferred	a service setting	https://api.semanticscholar.org/10.1016/j.jcv.2004.10.019		10.1016/j.jcv.2004.10.019				24	24	22	22	26	28	Once this method is developed , the operation will be more convenient and faster and this gene chip based method could be transferred from research to a service setting and applied to the identification of other microorganisms .
84086	research	transferred	the identification of other microorganisms	https://api.semanticscholar.org/10.1016/j.jcv.2004.10.019		10.1016/j.jcv.2004.10.019				24	24	22	22	32	36	Once this method is developed , the operation will be more convenient and faster and this gene chip based method could be transferred from research to a service setting and applied to the identification of other microorganisms .
87550	a bacterium	transfer	the ancestor of the Euryarchaeota	https://api.semanticscholar.org/10.1016/j.biochi.2019.07.026		10.1016/j.biochi.2019.07.026		31377195		29	30	27	27	32	36	However , the archaean homologues are all found in species from a single phylum ( Euryarchaeota ) and this is probably best explained as an ancient gene transfer from a bacterium to the ancestor of the Euryarchaeota .
89277	a bacterium	transfer	an archaean	https://api.semanticscholar.org/10.1016/j.biochi.2019.07.026		10.1016/j.biochi.2019.07.026		31377195		13	14	11	11	16	17	Those that are presumably the result of an ancient horizontal gene transfer from a bacterium to an archaean are : C10 ( streptopain ) , A24 ( type 4 prepilin peptidase ) , C25 ( gingipain ) and M4 ( thermolysin ) .
89278	a bacterium	transfer	a protozoan	https://api.semanticscholar.org/10.1016/j.biochi.2019.07.026		10.1016/j.biochi.2019.07.026		31377195		24	25	22	22	27	28	Presence in protozoa of homologues of A8 ( signal peptidase 2 ) at are presumably the result of an ancient horizontal gene transfer from a bacterium to a protozoan .
89280	a bacterium	transfer	a fungus	https://api.semanticscholar.org/10.1016/j.biochi.2019.07.026		10.1016/j.biochi.2019.07.026		31377195		18	19	16	16	21	22	The occurrence of M4 homologues in fungi is presumably the result of an ancient horizontal gene transfer from a bacterium to a fungus .
90786	dengue	travelling	tropical destinations	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6468216/pdf/	PMC6468216	10.15537/smj.2019.3.23585		30834424		11	11	3	3	5	6	Saudi Arabian tourists travelling to tropical destinations and infected immigrants from dengue fever endemic regions may have increased the dissemination of this contagious infection .
90786	dengue	travelling	infected immigrants	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6468216/pdf/	PMC6468216	10.15537/smj.2019.3.23585		30834424		11	11	3	3	8	9	Saudi Arabian tourists travelling to tropical destinations and infected immigrants from dengue fever endemic regions may have increased the dissemination of this contagious infection .
93078	the collection arm	transmitted	the transfusion arm of the same establishment	https://api.semanticscholar.org/10.1016/j.tmrv.2003.10.005		10.1016/j.tmrv.2003.10.005		14689376		20	22	18	18	24	30	The previously mentioned regulations and standards apply to those facilities as well ( ie , notices should be transmitted from the collection arm to the transfusion arm of the same establishment when necessary ) .
94472	cell	spreads	cell	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6222055/pdf/	PMC6222055	10.1128/msphere.00221-18		30404933		10	10	8	8	12	12	These models demonstrated that cytomegalovirus ( CMV ) spreads from cell to cell whereas Zika virus ( ZIKV ) spreads via the extracellular space .
96585	pCR8/GW/TOPO intermediate plasmids	transfer	destination plasmids	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5652782/pdf/	PMC5652782	10.18632/oncotarget.20469		29100389		7	9	5	5	11	12	The second step was gene transfer from pCR8/GW/TOPO intermediate plasmids to destination plasmids containing luciferase and YFP by LR Gateway recombination reaction using LR clonase according to manufacturer 's instructions ( Invitrogen ) .
97100	passage	transferred	passage	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5435362/pdf/	PMC5435362	10.1371/journal.ppat.1006365		28475646		45	45	43	43	47	47	The TCID50 assay is used to determine the dose required to give a 50 % chance that cells in culture will be successfully infected as determined by CPE and is typically used to determine viral titer and the effective MOI of the inocula transferred from passage to passage .
100000	bovine serum	transferred	the colostrum	https://api.semanticscholar.org/10.3168/jds.2016-11724		10.3168/jds.2016-11724		28088405		26	27	24	24	29	30	Previous research has suggested that this is related to increased antigenic exposure in older cows , so that a greater array of antibodies are transferred from bovine serum to the colostrum ( Donovan et al. , 1986 ) .
104780	human	transmitted	human	https://api.semanticscholar.org/10.1016/j.ajic.2006.04.203		10.1016/j.ajic.2006.04.203		17276785		23	23	21	21	25	25	The only remaining obstacle is that this strain of avian influenza has not yet mutated into a form that is easily transmitted from human to human .
106446	vaccinated dams	passed	offspring	https://api.semanticscholar.org/10.1016/b978-075064002-2.50013-8		10.1016/b978-075064002-2.50013-8				6	7	4	4	10	10	Maternal immunity was not passed from vaccinated dams to their offspring .
107499	one person	transmitted	another	https://api.semanticscholar.org/10.1016/s0140-6736(06)68036-7		10.1016/s0140-6736(06)68036-7		16427495		32	33	30	30	35	35	7 , 8 The mortality rate among infected individuals approached 70 % in the Bangladeshi outbreaks , and in contrast to the Malaysian outbreaks , the virus might have been transmitted from one person to another .
107856	26	transferred	P123 HA 4	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5691643/pdf/	PMC5691643	10.3390/v9100292		28991178		26	26	21	21	29	31	In order to obtain a P123 HA 4 GAA expression construct , a NotI-BamHI fragment of nsP4 containing GAA substitution was transferred from P1234 GAA [ 26 ] to P123 HA 4 .
111921	bats	transmitted	palm civets	https://api.semanticscholar.org/10.1016/j.chom.2020.02.001		10.1016/j.chom.2020.02.001		32035028	3004896487	28	28	26	26	30	31	SARS-CoV and MERS-CoV are considered highly pathogenic ( Cui et al. , 2019 ) , and it is very likely that both SARS-CoV and MERS-CoV were transmitted from bats to palm civets ( Guan et al. , 2003 ) or dromedary camels ( Drosten et al. , 2014 ) , and finally to humans ( Cui et al. , 2019 ) .
113986	LPTC-1	spread	all other LPTCs	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7084072/pdf/	PMC7084072	10.1073/pnas.1906954117		32123088		14	14	12	12	16	18	However , in epidemic wave V , H7N9 was found to have spread from LPTC-1 to all other LPTCs in China ( 22 ) .
115233	the Pearl River Delta region	spread	western China	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7084072/pdf/	PMC7084072	10.1073/pnas.1906954117		32123088		37	41	35	35	43	44	For example , previous work described the spread of H7N9 viruses between the Yangtze River Delta region and the Pearl River Delta region ( 21 ) ; our results also predict the possibility of AIV spread from the Pearl River Delta region to western China , and from the Yangtze River Delta region to northern and western China , via domestic poultry transportation .
119796	the anus	travels	unusual locations	https://api.semanticscholar.org/10.1016/b978-0-323-44585-6.00011-4		10.1016/b978-0-323-44585-6.00011-4				6	7	4	4	9	10	Rarely , Enterobius vermicularis travels from the anus to unusual locations , such as the urethra or vagina .
119796	the anus	travels	the urethra	https://api.semanticscholar.org/10.1016/b978-0-323-44585-6.00011-4		10.1016/b978-0-323-44585-6.00011-4				6	7	4	4	14	15	Rarely , Enterobius vermicularis travels from the anus to unusual locations , such as the urethra or vagina .
119796	the anus	travels	vagina	https://api.semanticscholar.org/10.1016/b978-0-323-44585-6.00011-4		10.1016/b978-0-323-44585-6.00011-4				6	7	4	4	17	17	Rarely , Enterobius vermicularis travels from the anus to unusual locations , such as the urethra or vagina .
122574	an ill person	transferred	the nasal mucosa of a susceptible person	https://api.semanticscholar.org/10.1016/s0065-3527(08)60375-9		10.1016/s0065-3527(08)60375-9		10547683		5	7	3	3	9	15	Rhinovirus may be transferred from an ill person to the nasal mucosa of a susceptible person by way of one ( or more ) transmission route ( s ) : small-particle aerosol , large-particle aerosol , or direct contact of virus-contaminated hands with conjunctival or nasal mucosa ( handhelf-inoculation route ) .
124966	sow	transmitted	piglet	https://api.semanticscholar.org/10.1016/b978-0-444-52512-3.00134-0		10.1016/b978-0-444-52512-3.00134-0				16	16	13	13	18	18	APP is a host-adapted , fastidious , and gram-negative encapsulated rod that is transmitted vertically from sow to piglet .
127215	Western Asia	spread	other regions	https://api.semanticscholar.org/10.1016/j.vprsr.2019.100323		10.1016/j.vprsr.2019.100323		31796198		41	42	39	39	44	45	In contrast to results from China ( Cai et al. , 2017 ; Feng and Xiao , 2017 ) , the occurrence of this zoonotic IId family group in calves is rare in Europe and seems likely to have spread from Western Asia to other regions including France ( Wang et al. , 2014 ) .
127854	the parents	transmitted	the off	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2330096/pdf/	PMC2330096	10.1016/s1473-3099(06)70601-6		17008174		29	30	27	27	32	33	Typically , the genome-wide approach has used linkage studies of multiply aff ected ( or infected ) pedigrees to identify regions of the entire genome that are transmitted from the parents to the off spring more often than expected under independent inheritance .
130301	nurse bees	transmitted	the larvae	https://api.semanticscholar.org/10.1101/299800		10.1101/299800				10	11	8	8	13	14	Here we show that dsRNA , which is transmitted from nurse bees to the larvae , persists in subsequent developmental stages including pupae and newly emerging bees .
131412	nurse bee	transfer	larvae	https://api.semanticscholar.org/10.1101/299800		10.1101/299800				3	4	1	1	6	6	RNA transfer from nurse bee to larvae does not rule out paternal queen deposition of RNA to eggs and its persistence throughout the progeny development .
133201	one area	pass	another	https://api.semanticscholar.org/10.1016/b978-0-7020-2488-7.50022-3		10.1016/b978-0-7020-2488-7.50022-3				30	31	28	28	33	33	• Regardless of which organ is affected first , the other two organs tend to become involved as inflammatory mediators , infectious agents , bile and/or pancreatic secretions pass from one area to another .
137591	liver	transferred	adipose tissue	https://api.semanticscholar.org/10.1101/670398		10.1101/670398				6	6	4	4	8	9	Among the miRNAs 80 transferred from liver to adipose tissue we find mir-33 , mir-10b and mir130a , which target major 81 regulators of cholesterol and lipid efflux and bio-synthesis such as Srebf1 [ 23 ] , Abca1 [ 23 , 24 ] , 82 Ppara [ 25 ] and Pparg [ 26 ] respectively .
139714	one autoantigenic molecule	spreads	another	https://api.semanticscholar.org/10.1016/b978-072160561-6.50014-9		10.1016/b978-072160561-6.50014-9				9	11	7	7	13	13	• Epitope spreading : The immune response spreads from one autoantigenic molecule to another ( intermolecular ) or from one site on the same molecule to another ( intramolecular ) .
139714	one autoantigenic molecule	spreads	one site	https://api.semanticscholar.org/10.1016/b978-072160561-6.50014-9		10.1016/b978-072160561-6.50014-9				9	11	7	7	19	20	• Epitope spreading : The immune response spreads from one autoantigenic molecule to another ( intermolecular ) or from one site on the same molecule to another ( intramolecular ) .
140631	MVA-VP2 vaccinated mice	transfer	naïve recipients	https://api.semanticscholar.org/10.1016/j.antiviral.2015.01.009		10.1016/j.antiviral.2015.01.009		25643968		8	10	1	1	13	14	Passive transfer of AHSV neutralising antiserum , from MVA-VP2 vaccinated mice to immunologically naïve recipients , was shown to be highly protective against a lethal AHSV challenge .
143204	young females	transfer	the kits	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5492706/pdf/	PMC5492706	10.1186/s13028-017-0312-1		28662678		19	20	17	17	22	23	This might be explained by poorer nursing skills in the primiparous females or a poorer passive immunity transfer from young females to the kits compared to older females .
154690	central Europe	importation	the UK	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3285191/pdf/	PMC3285191	10.1371/journal.pone.0031981		22384119		5	6	3	3	8	9	Therefore , livestock importation from central Europe to the UK seems a more likely explanation for the footprint of past W-TBEV presence observed in the LIV genome .
158869	one species	transfer	another	https://api.semanticscholar.org/10.1016/b978-0-12-801885-9.00002-0		10.1016/b978-0-12-801885-9.00002-0				18	19	7	7	15	15	Genetic engineering allows for the modification and transfer of genetic material from one organism to another including from one species to another .
158869	one organism	transfer	another	https://api.semanticscholar.org/10.1016/b978-0-12-801885-9.00002-0		10.1016/b978-0-12-801885-9.00002-0				12	13	7	7	21	21	Genetic engineering allows for the modification and transfer of genetic material from one organism to another including from one species to another .
162455	Southeast Asia	spread	temperate regions	https://api.semanticscholar.org/10.1016/j.mehy.2015.11.005		10.1016/j.mehy.2015.11.005		26608252		12	13	8	8	15	16	Seed strains of influenza A ( H3N2 ) spread from East and Southeast Asia to temperate regions every year [ 20 ] , and other respiratory viruses may follow similar routes .
163970	one person	transmitted	another	https://api.semanticscholar.org/10.1016/b978-0-12-375678-7.00404-1		10.1016/b978-0-12-375678-7.00404-1				6	7	4	4	9	9	If an infection is transmitted from one person to another , and if a person once infected recovers to be again susceptible , then the optimal package is to subsidize prevention and therapy at equal rates .
164421	person	spread	person	https://api.semanticscholar.org/10.1016/s0095-4543(05)70355-9		10.1016/s0095-4543(05)70355-9		8890137		5	5	3	3	7	7	Rhinoviral infections are spread from person to person by virus-contaminated respiratory secretions .
169471	the PCR automated system	transfer	the Laboratory Information System	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5685576/pdf/	PMC5685576	10.1371/journal.pone.0187263		29135992		18	21	16	16	23	26	This error was sufficient to lead to a change of process with implementation of automated data transfer from the PCR automated system to the Laboratory Information System ( LIS ) , but was not considered to have a significant clinical impact ( Table 1 ) .
169471	the PCR automated system	transfer	LIS	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5685576/pdf/	PMC5685576	10.1371/journal.pone.0187263		29135992		18	21	16	16	28	28	This error was sufficient to lead to a change of process with implementation of automated data transfer from the PCR automated system to the Laboratory Information System ( LIS ) , but was not considered to have a significant clinical impact ( Table 1 ) .
171419	most people	spread	household	https://api.semanticscholar.org/10.1378/chest.125.6.1982		10.1378/chest.125.6.1982		15189911		5	6	3	3	10	10	The rate of spread from most people with SARS to household or casual contacts was only moderate .
171419	most people	spread	casual	https://api.semanticscholar.org/10.1378/chest.125.6.1982		10.1378/chest.125.6.1982		15189911		5	6	3	3	12	12	The rate of spread from most people with SARS to household or casual contacts was only moderate .
182608	human	transmits	human	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2918554/pdf/	PMC2918554	10.1186/1471-2458-10-413		20626872		10	10	8	8	12	12	Most of them knew that H1N1 influenza virus transmits from human to human .
193462	tRNAs	transferred	the nascent protein	https://api.semanticscholar.org/10.1016/s0079-6603(08)60008-2		10.1016/s0079-6603(08)60008-2				37	37	35	35	39	41	Growing evidence implies that the unpaired nucleotides in a five-stem junction of the 2 3 4 rRNA form the peptidyl transferase site of the ribosome , where peptide bonds are formed when amino acids are transferred from tRNAs to the nascent protein ( 82 ) .
193462	tRNAs	transferred	82	https://api.semanticscholar.org/10.1016/s0079-6603(08)60008-2		10.1016/s0079-6603(08)60008-2				37	37	35	35	43	43	Growing evidence implies that the unpaired nucleotides in a five-stem junction of the 2 3 4 rRNA form the peptidyl transferase site of the ribosome , where peptide bonds are formed when amino acids are transferred from tRNAs to the nascent protein ( 82 ) .
196200	the TRS-B	transfer	the TRS-L	https://api.semanticscholar.org/10.1016/bs.aivir.2016.08.007		10.1016/bs.aivir.2016.08.007		27712622		16	17	1	1	20	21	Following transfer of the nascent minus strand from its downstream position on the template ( at the TRS-B ) to the TRS-L close to the 5 0 end of the genome , negative-strand RNA synthesis is resumed and completed by copying the 5 0 leader sequence .
197112	person	transmitting	person	https://api.semanticscholar.org/10.1016/j.ijid.2018.05.015		10.1016/j.ijid.2018.05.015		29879523		28	28	24	24	30	30	Of note , only nine of these 62 persons ( 7 % ) from the years 2001 - 2007 appeared to be responsible for transmitting the virus from person to person ( Luby et al. , 2009a , b ) .
198210	host faecal material	transfer	water courses	https://api.semanticscholar.org/10.1016/j.pt.2019.12.016		10.1016/j.pt.2019.12.016		31983609		17	19	13	13	24	25	How the oocysts reach water courses is not clear , as fate and transfer of oocysts from host faecal material through the environment to water courses is not well understood .
199894	human	transmit	human	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7088527/pdf/	PMC7088527	10.1007/s11262-009-0393-7		19693661		50	50	48	48	52	52	Unlike most avian and swine A influenza viruses that can result in sporadic human infection via animals to human transmission , but lack the ability of human to human transmission [ 4 , 5 ] , the novel swine-origin H1N1 influenza A virus shows a strong ability to transmit from human to human since its first emergence in Mexico [ 1 ] .
200552	human	transmit	human	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7088527/pdf/	PMC7088527	10.1007/s11262-009-0393-7		19693661		21	21	19	19	23	23	It implies that some of the influenza viruses in this clade have higher potential to evolve the ability to transmit from human to human after animals-to-human cross-species transmission .
200855	farm	Spread	farm	https://api.semanticscholar.org/10.1016/b978-0-7020-5246-0.00014-0		10.1016/b978-0-7020-5246-0.00014-0				3	3	1	1	5	5	1 Spread from farm to farm does not occur readily .
201205	worker bees	Transfer	nourished larvae	https://api.semanticscholar.org/10.1101/299800		10.1101/299800				4	5	0	0	7	8	Transfer of dsRNA from worker bees to nourished larvae .
204499	the digestive system	spread	the hemolymph	https://api.semanticscholar.org/10.1101/299800		10.1101/299800				8	10	6	6	17	18	Then , the ingested RNA is spread from the digestive system through the epithelial gut cells to the hemolymph , where it is associated with a protein complex .
216199	person	spread	person	https://api.semanticscholar.org/10.1016/j.cll.2014.02.001		10.1016/j.cll.2014.02.001		24856524		10	10	8	8	12	12	46 All 3 of these clones can be spread from person to person , although many patients have unique clones , which they likely acquired from their environment .
216200	Toronto	spread	Europe	https://api.semanticscholar.org/10.1016/j.cll.2014.02.001		10.1016/j.cll.2014.02.001		24856524		13	13	11	11	15	15	48 It has been shown that the ET-12 strain has been spread from Toronto to Europe and that it is the predominant strain in Canada . 46 , 49 The organism has an unusual appendage called a cable pilin , which is believed to be responsible for its high transmissibility .
218150	effector cells	transfer	activated T cells	https://api.semanticscholar.org/10.1016/j.jneuroim.2010.08.001		10.1016/j.jneuroim.2010.08.001				18	19	6	6	21	23	By confocal microscopy , we observed transfer of granzymes ( Gzm A , -B and -K ) from effector cells to activated T cells within 3 h of co-culture .
221246	cat	transmitted	cat	https://api.semanticscholar.org/10.1016/s0065-3527(03)62002-6		10.1016/s0065-3527(03)62002-6		14719364		16	16	14	14	18	18	Feline leukemia virus A ( FeLV-A ) is the form of FeLV that is transmitted from cat to cat , and for this reason it is called the ecotropic form .
222690	China	spread	other countries[1	https://api.semanticscholar.org/10.1101/2020.03.21.20040121		10.1101/2020.03.21.20040121				37	37	34	34	39	40	Since December 2019 , a cluster of severe acute respiratory syndrome coronavirus 2 disease now named as 2019 novel coronavirus infection disease ( COVID-19 ) occurred in Wuhan , Hubei Province , China and spread rapidly from China to other countries[1 ] [ 2 ] [ 3 ] .
